name,type,rating,address,website,price
Shapiro's Delicatessen,bakery,4.5,"808 South Meridian Street, Indianapolis",https://shapiros.com/,2
Kay Jewelers,jewelry_store,4.2,"49 West Maryland Street D17 A, Indianapolis",https://stores.kay.com/in/indianapolis/2327?cid=seo-listings,3
Finish Line,shoe_store,4.1,"49 West Maryland Street G1, Indianapolis",https://stores.finishline.com/in/indianapolis/circle-centre-mall.html?utm_source=googlemybusiness&utm_medium=organic,2
The Children's Place,clothing_store,3.1,"49 West Maryland Street, Indianapolis",https://www.childrensplace.com/us/store/circlecentermall-in-indianapolis-46204-111437?cid=Natural%20Search-_-google-_-GMB-_-useraction-_-website&utm_medium=Natural%20Search&utm_source=google&utm_campaign=GMB&utm_term=useraction&utm_content=website,2
Lucky Brand,clothing_store,4.6,"49 West Maryland Street Space F08, Indianapolis",https://stores.luckybrand.com/lucky-brand-728f80b8c2b5?utm_source=google&utm_medium=organic&utm_campaign=local,3
Lids,clothing_store,4.2,"49 W Maryland St, C10 Box 169, Indianapolis",https://www.lids.com/store/lids-circle-centre-mall/sd-1431+z-977318203-2060221721?_s=bm-LIDS-RETAIL-GMB,2
FedEx Office Print & Ship Center,store,2.9,"120 Monument Circle Suite 107, Indianapolis",https://local.fedex.com/en-us/in/indianapolis/office-0186?cmp=LOC-1001545-3-1-971-1110000-US-US-EN-GPLCOPYANDPRINT,2
Indianapolis City Market,florist,4.4,"222 East Market Street, Indianapolis",http://www.indycm.com/,1
T.J. Maxx,department_store,4.1,"50 North Illinois Street, Indianapolis",https://tjmaxx.tjx.com/store/index.jsp,1
Starbucks,restaurant,4.4,"The Davlan, 430 Massachusetts Avenue, Indianapolis",https://www.starbucks.com/store-locator/store/13438/,2
Journeys,shoe_store,4.3,"49 West Maryland Street, Indianapolis",https://www.journeys.com/store/journeys-circle-centre,2
Nestle Tollhouse Cafe by Chip,cafe,4.2,"49 W Maryland St Suite d20A, Indianapolis",http://www.nestlecafe.com/,1
